City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Huarmey,PE,2021-01-23 00:41:14,-10.0681,-78.1522,72.43,72,93,6.53
120,Eyl,SO,2021-01-23 00:42:39,7.9803,49.8164,71.92,74,100,16.49
121,Doha,QA,2021-01-23 00:42:30,25.2867,51.5333,57.2,71,0,10.36
122,Aykhal,RU,2021-01-23 00:42:39,66.0,111.5,-45.24,76,96,3.62
123,Kuloy,RU,2021-01-23 00:42:39,61.0305,42.4925,3.27,94,100,9.91
124,Ilulissat,GL,2021-01-23 00:42:39,69.2167,-51.1,24.8,39,0,18.41
125,Lagunas,PE,2021-01-23 00:42:39,-5.2269,-75.6753,73.67,96,100,2.93
126,Saltabarranca,MX,2021-01-23 00:42:39,18.6,-95.5333,72.57,92,2,6.26
127,Tessalit,ML,2021-01-23 00:42:40,20.1986,1.0114,57.74,24,0,10.22
128,Mount Gambier,AU,2021-01-23 00:42:40,-37.8333,140.7667,71.6,46,0,5.75
129,Giyani,ZA,2021-01-23 00:42:40,-23.3025,30.7187,68.43,77,98,7.85
130,Lasa,IT,2021-01-23 00:42:40,46.6166,10.7002,32.0,100,90,4.61
131,East London,ZA,2021-01-23 00:42:40,-33.0153,27.9116,75.65,91,39,9.13
132,Barrow,US,2021-01-23 00:42:40,71.2906,-156.7887,8.6,78,90,24.16
133,Thompson,CA,2021-01-23 00:42:41,55.7435,-97.8558,-9.4,84,90,3.67
134,Bilma,NE,2021-01-23 00:42:41,18.6853,12.9164,58.71,30,2,8.41
135,Vila Velha,BR,2021-01-23 00:39:33,-20.3297,-40.2925,79.0,78,40,5.75
136,Bandundu,CD,2021-01-23 00:42:41,-3.3167,17.3667,72.95,92,93,2.93
137,Bengkulu,ID,2021-01-23 00:42:27,-3.8004,102.2655,78.87,72,2,5.37
138,Ancud,CL,2021-01-23 00:42:41,-41.8697,-73.8203,70.0,73,75,8.05
139,Ballina,AU,2021-01-23 00:42:41,-28.8667,153.5667,82.4,57,0,11.5
140,Hervey Bay,AU,2021-01-23 00:42:42,-25.2986,152.8535,86.0,47,40,9.22
141,Sorong,ID,2021-01-23 00:42:42,-0.8833,131.25,83.91,68,0,3.83
142,Bahir Dar,ET,2021-01-23 00:42:42,11.5936,37.3908,61.02,77,45,2.84
143,Sumbe,AO,2021-01-23 00:42:42,-11.2061,13.8437,74.03,82,100,5.03
144,Shimoda,JP,2021-01-23 00:42:42,34.6667,138.95,50.0,93,75,21.85
145,Khatanga,RU,2021-01-23 00:42:42,71.9667,102.5,-31.0,84,100,9.13
146,Katsuura,JP,2021-01-23 00:42:42,35.1333,140.3,48.0,82,100,11.99
147,Mahebourg,MU,2021-01-23 00:42:43,-20.4081,57.7,78.8,83,75,6.91
148,Cabo San Lucas,MX,2021-01-23 00:42:43,22.8909,-109.9124,72.0,83,1,6.91
149,Sao Gabriel Da Cachoeira,BR,2021-01-23 00:42:43,-0.1303,-67.0892,73.45,97,53,1.03
150,Mount Isa,AU,2021-01-23 00:42:43,-20.7333,139.5,89.6,45,100,5.75
151,Escanaba,US,2021-01-23 00:42:43,45.7453,-87.0646,10.4,61,1,3.44
152,Avarua,CK,2021-01-23 00:42:43,-21.2078,-159.775,87.8,66,20,14.97
153,Santa Isabel,BR,2021-01-23 00:37:57,-23.3156,-46.2214,73.4,83,75,5.75
154,Kruisfontein,ZA,2021-01-23 00:42:44,-34.0033,24.7314,71.01,91,0,1.01
155,Kalnibolotskaya,RU,2021-01-23 00:42:44,46.0058,40.4568,33.24,87,96,7.18
156,Cascais,PT,2021-01-23 00:42:44,38.6979,-9.4215,57.0,88,58,13.91
157,Constantine,DZ,2021-01-23 00:42:44,36.365,6.6147,50.0,71,75,8.05
158,Deer Lake,CA,2021-01-23 00:42:44,49.1667,-57.4316,19.4,79,90,9.22
159,Roma,US,2021-01-23 00:42:44,43.2128,-75.4557,28.4,86,90,12.66
160,Nakanojo,JP,2021-01-23 00:42:45,36.5833,138.85,43.0,85,100,1.74
161,Mandalgovi,MN,2021-01-23 00:42:45,45.7625,106.2708,11.19,84,0,4.18
162,Nanortalik,GL,2021-01-23 00:42:45,60.1432,-45.2371,23.59,88,0,7.54
163,Severo-Kurilsk,RU,2021-01-23 00:42:45,50.6789,156.125,23.04,92,100,14.16
164,Ballitoville,ZA,2021-01-23 00:41:11,-29.539,31.2144,75.0,88,0,5.75
