City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
583,Yangjiang,CN,73.0,21.85,111.9667,HUALUXE Yangjiang City Center
585,Kulhudhuffushi,MV,82.06,6.6221,73.07,Haajy Guest House 1
588,Aquiraz,BR,82.4,-3.9014,-38.3911,Pousada Rua Camurupim
595,Kuala Terengganu,MY,78.8,5.3302,103.1408,Hotel Grand Continental Kuala Terengganu (4 Star)
602,Les Cayes,HT,73.45,18.2,-73.75,Villa Orphee
604,Thinadhoo,MV,82.44,0.5333,72.9333,
615,General Pico,AR,83.19,-35.6566,-63.7568,Hotel Malargue
621,Vao,NC,75.56,-22.6667,167.4833,Hotel Kou-Bugny
623,Grand-Santi,GF,71.62,4.25,-54.3833,Hotel La Villa Couacou
624,Pandan,PH,83.8,14.0453,124.1694,Bonifacio Lodge
625,Sao Sebastiao,BR,74.64,-23.76,-45.4097,Hotel Recanto dos Pássaros
626,Miracema Do Tocantins,BR,72.16,-9.5618,-48.3967,Miami Apart Hotel
629,Chibuto,MZ,75.83,-24.6867,33.5306,Hotel Mar Da Zinha
635,Luziania,BR,71.6,-16.2525,-47.9503,HOTEL SARON
636,Ballina,AU,82.4,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
638,Riberalta,BO,72.39,-10.9833,-66.1,Hotel Colonial
639,Cap Malheureux,MU,82.99,-19.9842,57.6142,Pereybere Hotel & Spa
641,Vanimo,PG,86.0,-2.6741,141.3028,Vahmoneh Lodge Vanimo
642,Cam Ranh,VN,80.6,11.9214,109.1591,OYO 598 Peony Hotel
643,Sao Jose Da Coroa Grande,BR,76.35,-8.8978,-35.1478,Crôa Mares Hotel
652,Buerarema,BR,75.2,-14.9594,-39.2997,POUSADA JEQUITIBÁ BUERAREMA
654,Kendari,ID,82.74,-3.945,122.4989,Hotel Wixel
656,Rajura,IN,83.59,19.7833,79.3667,Bharat Lodge
658,Tura,IN,73.27,25.5198,90.2201,Hotel RIKMAN Continental
659,West Bay,KY,78.01,19.3667,-81.4167,Calypso Cove
660,Noumea,NC,82.4,-22.2763,166.4572,Hôtel Le Lagon
661,Long,TH,89.01,18.0761,99.8326,Nopphakoe Homestay
663,Oriximina,BR,76.8,-1.7656,-55.8661,Pousada Tia Amélia
664,Charters Towers,AU,87.66,-20.1,146.2667,Cattleman's Rest Motor Inn
668,Kaeo,NZ,77.0,-35.1,173.7833,Bushido Lodge
674,Iraucuba,BR,75.76,-3.7461,-39.7833,Hotel Terra da Amizade
676,Bom Jesus,BR,70.75,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
680,Pathein,MM,84.2,16.7833,94.7333,Pathein Hotel
686,Nueve De Julio,AR,75.99,-35.4444,-60.8831,Grand Hotel Libertad - GHL
690,Alice Springs,AU,77.0,-23.7,133.8833,Desert Palms Alice Springs
693,Mae Sai,TH,75.2,20.4335,99.8762,Piyaporn Hill Paradise Hotel
698,Port Blair,IN,81.27,11.6667,92.75,Welcomhotel Bay Island Port Blair
703,Bondo,CD,71.01,3.8146,23.6866,
706,Oistins,BB,77.0,13.0667,-59.5333,Butterfly Beach Hotel
707,Itarema,BR,78.98,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
710,Merauke,ID,87.42,-8.4667,140.3333,
711,Huarmey,PE,71.83,-10.0681,-78.1522,Hotel Miramar
712,Dwarka,IN,73.65,22.2394,68.9678,Hotel Narayan Avezika Comfort
713,Salinopolis,BR,79.09,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
