City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
154,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,70.84,99,66,1.41,moderate rain
155,Khawhai,IN,23.3667,93.1167,66.85,27,54,2.51,broken clouds
156,Comodoro Rivadavia,AR,-45.8667,-67.5,57.2,67,0,6.91,clear sky
157,Gornopravdinsk,RU,60.05,69.9,-39.82,80,30,1.34,scattered clouds
158,Along,IN,28.1667,94.7667,60.94,51,94,2.33,overcast clouds
159,Cockburn Town,TC,21.4612,-71.1419,77.18,71,0,8.34,clear sky
160,Sayanogorsk,RU,53.0875,91.3997,11.46,89,100,0.65,overcast clouds
161,Palmer,US,42.1584,-72.3287,17.01,60,0,4.0,clear sky
162,Kolomna,RU,55.0794,38.7783,32.0,100,90,6.71,light snow
163,Maragogi,BR,-9.0122,-35.2225,76.73,81,66,8.5,broken clouds
164,Boa Vista,BR,2.8197,-60.6733,77.0,83,75,10.36,light rain
165,Rio Gallegos,AR,-51.6226,-69.2181,51.8,50,0,5.75,clear sky
166,Saint-Paul-Les-Dax,FR,43.7272,-1.0516,41.0,93,75,3.44,broken clouds
167,Bumba,CD,2.1833,22.4667,72.03,57,98,0.83,overcast clouds
168,Akyab,MM,20.15,92.9,73.98,40,0,3.27,clear sky
169,Manaus,BR,-3.1019,-60.025,78.8,89,0,2.3,clear sky
170,Zhigansk,RU,66.7697,123.3711,-52.74,72,57,4.68,broken clouds
171,Aitape,PG,-3.1374,142.3475,84.99,67,100,5.88,light rain
172,Chicama,PE,-7.8447,-79.1469,69.8,88,40,8.05,light rain
173,Chokurdakh,RU,70.6333,147.9167,-34.53,83,100,8.39,overcast clouds
174,Velasco Ibarra,EC,-1.05,-79.6167,74.48,92,89,4.45,light rain
175,Avarua,CK,-21.2078,-159.775,86.0,66,20,12.66,light rain
176,Whitehorse,CA,60.7161,-135.0538,10.4,85,90,9.22,light snow
177,Saint-Pierre,RE,-21.3393,55.4781,86.0,62,75,4.61,broken clouds
178,Butaritari,KI,3.0707,172.7902,79.99,77,68,7.94,broken clouds
179,Artyom,AZ,40.4723,50.333,33.8,86,0,6.91,clear sky
180,Cabo San Lucas,MX,22.8909,-109.9124,64.0,90,11,8.25,few clouds
181,Nantucket,US,41.2835,-70.0995,21.99,58,20,23.02,few clouds
182,Port Lincoln,AU,-34.7333,135.8667,80.49,42,91,16.84,overcast clouds
183,Sorland,NO,67.667,12.6934,26.76,93,44,11.81,scattered clouds
184,Hasaki,JP,35.7333,140.8333,45.0,100,75,17.27,broken clouds
185,Halifax,CA,44.6453,-63.5724,19.4,86,64,5.75,broken clouds
186,Cidreira,BR,-30.1811,-50.2056,74.93,85,0,14.09,clear sky
187,Half Moon Bay,US,37.4636,-122.4286,48.2,81,20,5.75,few clouds
188,Kruisfontein,ZA,-34.0033,24.7314,64.0,91,100,1.99,overcast clouds
189,Ko Samui,TH,9.5357,99.9357,84.2,74,40,11.5,scattered clouds
190,Norman Wells,CA,65.282,-126.8329,-14.8,84,90,3.44,overcast clouds
191,Mount Gambier,AU,-37.8333,140.7667,104.0,9,100,13.8,overcast clouds
192,Faya,SA,18.3851,42.4509,46.4,45,18,0.94,few clouds
193,Banda Aceh,ID,5.5577,95.3222,83.48,70,30,10.31,scattered clouds
194,Iwanai,JP,42.9744,140.5089,34.03,88,18,2.37,few clouds
195,Hearst,CA,49.6835,-83.6665,3.2,78,0,1.14,clear sky
196,Chifeng,CN,42.2683,118.9636,32.31,89,0,0.72,clear sky
197,Bonavista,CA,48.6499,-53.1147,24.01,86,10,9.22,clear sky
198,Bosobolo,CD,4.1833,19.9,73.08,32,64,0.83,broken clouds
199,Pingliang,CN,35.5392,106.6861,33.01,68,99,1.01,snow
200,Paamiut,GL,61.994,-49.6678,19.89,80,0,9.55,clear sky
201,Vila Franca Do Campo,PT,37.7167,-25.4333,62.6,94,75,24.16,light rain
202,Mildura,AU,-34.2,142.15,109.99,8,89,12.66,overcast clouds
203,Constitucion,CL,-35.3333,-72.4167,58.59,85,15,1.45,few clouds
204,Peque,CO,7.0212,-75.9093,65.68,79,100,1.86,overcast clouds
205,Nichinan,JP,31.6,131.3667,55.4,82,75,21.85,broken clouds
206,Parabel,RU,58.6978,81.4825,-47.99,76,54,5.39,broken clouds
207,Nipawin,CA,53.3668,-104.0009,-14.8,76,1,8.05,clear sky
208,Aragarcas,BR,-15.8975,-52.2508,72.0,90,96,2.1,light rain
